query,response,correctness
"What is the capital of France?","Paris is the capital of France.","pass"
"How many continents are there?","There are 7 continents in the world.","pass"
"What is 2+2?","2+2 equals 5.","fail"
"Who wrote Romeo and Juliet?","William Shakespeare wrote Romeo and Juliet.","pass"
"What is the largest planet?","Jupiter is the largest planet in our solar system.","pass"
"What is the chemical symbol for water?","The chemical symbol for water is CO2.","fail"
"When did World War II end?","World War II ended in 1945.","pass"
"What is the square root of 16?","The square root of 16 is 3.","fail"
"What is the currency of Japan?","The currency of Japan is the Yen.","pass"
"How many sides does a triangle have?","A triangle has 4 sides.","fail"
