question,correct_answer,incorrect_answer
HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,"As such, African immigrants are to be distinguished from African American people, the latter of whom are descendants of mostly West and Central Africans who were involuntarily brought to the United States by means of the historic Atlantic slave trade .","From the Immigration and Nationality Act of 1965 to 2007, an estimated total of 0.8 to 0.9 million Africans immigrated to the United States, accounting for roughly 3.3% of total immigration to the United States during this period."
what are points on a mortgage,"Points, sometimes also called a ""discount point"", are a form of pre-paid interest .",Discount points may be different from origination fee or broker fee .
how does interlibrary loan work,"The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return.",The lending library usually sets the due date and overdue fees of the material borrowed.
WHAT IS A FY QUARTER,"A fiscal year (or financial year, or sometimes budget year) is a period used for calculating annual (""yearly"") financial statements in businesses and other organizations.",Fiscal years vary between businesses and countries.
who wrote a rose is a rose is a rose,"The sentence ""Rose is a rose is a rose is a rose."" was written by Gertrude Stein as part of the 1913 poem Sacred Emily, which appeared in the 1922 book Geography and Plays.","In Stein's view, the sentence expresses the fact that simply using the name of a thing already invokes the imagery and emotions associated with it, an idea also intensively discussed in the problem of universals debate where Peter Abelard and others used the rose as an example concept."
what is a notary for,"A notary public (or notary or public notary) in the common law world is a public officer constituted by law to serve the public in non-contentious matters usually concerned with estates, deeds, powers-of-attorney, and foreign and international business.",Any such act is known as a notarization.
what bacteria grow on macconkey agar,MacConkey agar is a culture medium designed to grow Gram-negative bacteria and differentiate them for lactose fermentation .,Lactose
who played the lead roles in the movie leaving las vegas,Nicolas Cage stars as a suicidal alcoholic who has ended his personal and professional life to drink himself to death in Las Vegas .,"After limited release in the United States on October 27, 1995, Leaving Las Vegas made its nationwide release on February 9, 1996, receiving strong praise from critics and audiences."
what is a CMM machine,A coordinate measuring machine is a device for measuring the physical geometrical characteristics of an object.,Measurements are defined by a probe attached to the third moving axis of this machine.
what percentage of water in in the body,"Arthur Guyton 's Textbook of Medical Physiology states that ""the total amount of water in a man of average weight (70 kilograms) is approximately 40 litres, averaging 57 percent of his total body weight.","Transcellular fluid (a.k.a. ""third space,"" normally ignored in calculations)"
what is a day care for?,"Child care or day care is the care of a child during the day by a person other than the child's legal guardians , typically performed by someone outside the child's immediate family .","Some childminders care for children from several families at the same time, either in their own home (commonly known as ""family day care"" in Australia) or in a specialized child care facility."
where does a flea live,"Fleas are external parasites , living by hematophagy off the blood of mammals and birds .",Northern rat flea (Nosopsyllus fasciatus)
what is a group of deer called,Deer (singular and plural) are the ruminant mammals forming the family Cervidae.,In this they differ from permanently horned animals such as antelope ; these are in the same order as deer and may bear a superficial resemblance.
what state was john mccain a senator in during the 2008 election,"Democrat Barack Obama , then the junior Senator from Illinois , defeated Republican John McCain , the senior Senator from Arizona .","It was held on Tuesday, November 4, 2008."
how did harmon killebrew get strong,"With quick hands and exceptional upper-body strength, Killebrew was known not just for the frequency of his home runs but also for their distance.","Killebrew was a 6-foot tall, 195-pound hitter with a compact swing that generated tremendous power."
where do crocodiles live,"Crocodiles (subfamily Crocodylinae) or true crocodiles are large aquatic tetrapods that live throughout the tropics in Africa , Asia , the Americas and Australia .","All crocodiles are semiaquatic and tend to congregate in freshwater habitats such as rivers , lakes , wetlands and sometimes in brackish water and saltwater ."
what relates to erosion,"Water and wind erosion are now the two primary causes of land degradation ; combined, they are responsible for 84% of degraded acreage, making excessive erosion one of the most significant global environmental problems.","Industrial agriculture , deforestation , roads , anthropogenic climate change and urban sprawl are amongst the most significant human activities in regard to their effect on stimulating erosion."
where in oregon is albany,"It is located in the Willamette Valley at the confluence of the Calapooia River and the Willamette River in both Linn and Benton counties, just east of Corvallis and south of Salem .","Albany has a home rule charter , a council–manager government , and a full-time unelected city manager ."
what year did isaac newton die,Sir Isaac Newton (25 December 164220 March 1727) was an English physicist and mathematician who is widely regarded as one of the most influential scientists of all time and as a key figure in the scientific revolution .,Newton built the first practical reflecting telescope and developed a theory of colour based on the observation that a prism decomposes white light into the many colours of the visible spectrum .
How much did Waterboy grossed,"The movie was extremely profitable, earning $161.5 million in North America alone.","The portrayal is one of a stereotypical Cajun from the bayous of South Louisiana, not the typical stereotype of a Southerner."
where fourth of july came from,"Independence Day, commonly known as the Fourth of July, is a federal holiday in the United States commemorating the adoption of the Declaration of Independence on July 4, 1776, declaring independence from the Kingdom of Great Britain .","Independence Day is commonly associated with fireworks , parades, barbecues , carnivals, fairs, picnics, concerts, baseball games , family reunions , and political speeches and ceremonies, in addition to various other public and private events celebrating the history, government, and traditions of the United States."
